APPLICATIONFEE,APPROVALREQUIRED,AREA,BATHSFULL,BATHSHALF,BEDS,CITY,CLOSEDDATE,COMPACTOR,COMPBONUS,CONNECTIONS,COOLSYSTEM,COOPSALE,COUNTERTOPS,COUNTRY,COUNTY,DAYSONMARKET,DAYSONMARKETCUMULATIVE,DAYSTOCLOSING,DEPOSITPET,DEPOSITSECURITY,GARAGECAP,GPEXT_GEOCODEDATE,GPEXT_LATITUDE,GPEXT_LONGITUDE,LEASEPRICE,LEGALSUBDIVISION,LISTDATE,LISTPRICE,LOTSIZE,LOTSIZESRC,PETS,PHOTOCOUNT,PHOTODATE,REALREMARKS,RECFACILITYFEE,REMARKS,REMOVALOPTDATE,RENTALTERMS,RENTALTYPE,SQFTBLDG,SQFTSOURCE,STORIES,STREETDIR,STREETNAME,STREETNUM,STREETNUMDISPLAY,SUBDIVISION,YEARBUILT,ZIP4,ZIPCODE
45,Y,30,2,0,4,RICHMOND,10/12/15 0:00,N,NULL,"GASDR,WASHR",CNELE,N,NULL,183,FORTBEND,53,86,5,Y,1950,2,8/15/15 1:39,29.51230812,-95.80545044,1750,OTHER - 77469,8/15/15 0:00,1750,84915,APPDS,CSBAS,21,8/15/15 1:39,"$40 per person application fee. Credit check, criminal back ground check, 3 pay check stubs. Good Credit or rental history, Long term lease, 1 year leaseWood fence to be installed in back yard of home. 2 car garage and 2 car covered carport also.",NULL,"Beautiful single-story home located in the wonderful city of Richmond! This home features four spacious bedrooms and two full large bathrooms. This home also features a gorgeous kitchen/breakfast, a formal dining room, and a spacious family room! Enjoy the fantastic backyard Don't miss a great oppurtunity to view this stunning home up close and personal before it's too late!",NULL,LONGT,FREES,2558,APDIS,1,NULL,J MEYER RD,1923,1923,G M STONE,1995,8476,77469
45,Y,30,2,0,3,Richmond,10/12/15 0:00,NULL,NULL,ELDRY,CNELE,N,High End Laminate,183,FORTBEND,40,40,NULL,Y,1400,2,8/31/15 18:06,29.54228592,-95.68671417,1400,TARA,8/31/15 0:00,1400,6186,APPDS,CSBAS,10,9/1/15 11:48,"Ready for move-in. Owner will accept pets on a case by case basis.  $500 pet dep/ $300 is non-refundable.  Will need to have a picture of the pet w/owners before a decision is made.  Need copy of DL's, SSN cards, 2 most recent pay stubs and a completed 4 page TAR application on each person over 18. Please contact alternate agent with all questions.",NULL,Well maintained and ready for immediate move in.  Minutes from the Grand Parkway and HWY 59.,NULL,1YEAR,FREES,1580,APDIS,NULL,NULL,Zieglers Grv,7207,7207,Tara Sec 2,1981,6034,77469
35,N,30,2,1,3,Richmond,10/12/15 0:00,N,NULL,NULL,CNELE,Y,NULL,183,FORTBEND,40,40,NULL,Y,300,1,9/2/15 17:24,29.50049591,-95.76075745,1200,SUNRISE MEADOW,9/2/15 0:00,1200,5875,APPDS,CSBAS,10,9/4/15 15:41,"A classic, two story, three bedroom, two and a half bathroom house, living, dining, central a/c and heat, carpet, immediate availability, no appointment required, supra, thank you!",NULL,"A classic, two story, three bedroom, two and a half bathroom house, living, dining, central a/c and heat, carpet, garage, fenced back yard, immediate availability, thank you!",NULL,1YEAR,FREES,1334,APDIS,NULL,NULL,Middlecrest Ln,3919,3919,Sunrise Meadow Sec 1,2006,4124,77469
50,Y,30,2,0,3,Sugar Land,10/10/15 0:00,NULL,NULL,NULL,CNELE,N,NULL,183,FORTBEND,11,11,NULL,NULL,1900,2,9/27/15 19:37,29.54289818,-95.66599274,1900,GREATWOOD STONEBRIDGE,9/29/15 0:00,1900,NULL,APPDS,NOALL,22,9/29/15 20:35,"Please text 281-725-3974 for lock box number with date and time of the appointment. $50/adult application fee. Payable via cash, cashier's check, Chase Quickpay (iswright66@yahoo.com). Submit application with 3 pay stubs & copy of driver's license",NULL,"Look a beautiful and NEWER ONE STORY house in coveted Greatwood. Large trees greet you upon arrival. Lovely split plan: Master on one side & two children's rooms on the other divided by gameroom/computer room for kids...Kitchen has eating area and opens to the family room. A/C and Water Heater in 2014!  Skylight in kitchen eating area. Walking distance to elementary school, park and pool. Mins to groceries, shopping center and First Colony mall.  Easy access to 59 and 99.",NULL,1YEAR,FREES,2034,SELLR,1,NULL,Deerbrook,1206,1206,Greatwood,2001,NULL,77479
50,Y,30,2,0,4,RICHMOND,10/8/15 0:00,N,NULL,"ELDRY,GASDR,WASHR",CNELE,N,NULL,183,FORTBEND,5,34,1,Y,1695,2,10/2/15 21:04,29.53939819,-95.7036438,1550,BRAZOS GARDENS,10/2/15 0:00,1495,7200,APPDS,CSBAS,16,10/5/15 9:49,"NO section 8. $50.00 application fee for each applicant 18 years and older. Application fee not refundable. Good rental history only. Cashier check only for security deposit and monthly rent . Please follow the instrction for submitting the lease application. Once the application get approved, listing agent will send you a template lease agreement. Please TEXT OR EMAIL your showing request to the listing agent.",NULL,Beautiful 4bed/2bath completely new paint in 6/2014. Recent paint in and out. Ceiling fans in all rooms. Completed window covering. Updated light fixture. Tile in all wet area. Open floorplan with wonderful outdoor cover patio and no back yard neighbors. NO section 8.,NULL,LONGT,FREES,1932,APDIS,1,NULL,BRAZOS GARDENS DR,122,122,BRAZOS GARDENS SEC 1,2003,9277,77469
50,Y,30,2,0,3,SUGAR LAND,10/7/15 0:00,NULL,NULL,"ELDRY,GASDR,WASHR",CNELE,N,GRANITE,183,FORTBEND,51,51,19,NULL,2600,2,7/29/15 4:32,29.60131836,-95.65931702,2450,TELFAIR,7/29/15 0:00,2450,7500,APPDS,NOALL,20,7/29/15 4:32,"LOVELY HOME,PRICE FOR QUICK MOVE IN AND LONG TERM LEASE. GOOD CREDIT OR RELOCATE BY COOPRATE TENANTS PREFER.PLEASE SUBMIT YOUR CLIENT'S APPLICATION WITH THEIR ID COPIES,JOB OFFER LETTER, FINACIAL SUPPORT DOCS TOGETHER.APPLICATION FEE $50 PER PERSON. REFRIGIRATOR WILL STAY. THANKS FOR YOUR SHOWING.",NULL,"LOVELY 3 BEDROOM 1-STORY HOME IN ALWAYS POPULAR TELFAIR. PRICE FOR QUICK MOVE IN AND LONG TERM LEASE.HOUSE WITH COMMON AREA WOOD FLOOR AND TILE,FRANCH DOOR STUDY,11' CEILING,HUGE FAMILY ROOM,COVERED PATIO,ZONING SPRINKLER,NICE SIZE LOT.ONLY BEDRMS IN CARPET. UPGRADES EVERYWHERE YOU LOOK.EASY ASSECSS HIGHWAYS,FREEWAYS AND SHOPPING MALLS.COSTCO JUST LOCATE AT COMMUNITY COMMERCIAL ITE BESIDE 59 FWY. READY TO BE YOUR NEW SWEET HOME AT THE END OF AUG. 2015.",NULL,1YEAR,FREES,2399,APDIS,1,NULL,FITZGERALD CT,6807,6807,TELFAIR SEC 15-A,2009,4415,77479
40,Y,30,2,1,3,Rosenberg,10/7/15 0:00,N,NULL,"ELDRY,GASDR,WASHR",CNELE,N,NULL,183,FORTBEND,17,17,4,NULL,NULL,2,9/16/15 17:55,29.55415916,-95.76764679,1500,VILLAGES OF TOWN CENTER,9/16/15 0:00,1550,6600,APPDS,NOALL,20,9/16/15 21:51,Please submit complete typed application to Lupita.  Include color legible drivers license and copies of pay stubs for last two months.  Income must be three times the rent.  Good credit score and good rental history.  Application fee is $40 per adult.,NULL,"Beautiful two story, three bedroom, two and 1/2 bathroom with great backyard.  It has a spacious kitchen overlooking the great family room with lots of natural light. All bedrooms and grand game room are upstairs.   It has garage for two and plenty of space on driveway. Covered porch and a covered patio also fantastic areas for your use. Close to shopping and dining.  ",NULL,1YEAR,NULL,2301,APDIS,NULL,NULL,Hemple Dr,1229,1229,Villages Of Town Center Sec,2006,2488,77471
45,Y,30,2,1,4,Richmond,10/6/15 0:00,NULL,NULL,NULL,CNELE,N,Granite,183,FORTBEND,25,25,2,NULL,2200,2,9/8/15 17:34,29.55331993,-95.70435333,1999,CANYON GATE AT THE BRAZOS,9/9/15 0:00,1999,8960,APPDS,NOALL,32,9/10/15 4:08,"Beautiful home in gated community w/security guard. Please include 2 last paystubs, or proof of funds,driver license copy.$45/person appl fee to Keller Williams Realty. Looking for good tenants with no evictions,no section 8,good rental history and stable job",OWNER,"Next to Greatwood. Gated community with 24-hour gate attendant. Beautiful home, minutes away from Hwy 59, Memorial Herman Hospital Sugar Land, New Territory, Grocery store & major shopping center. Huge Master Bedroom. Large driveway,1.5 story w/gameroom upstairs.4 Br w/master walk in closet. Formal Dining & Formal Living have wood floors,kitchen w/granite countertop,stainless steel appliances,washer dryer included. Clubhouse has an exercise room.Basketball pavilion, tennis court & swimming pool.",NULL,1YEAR,FREES,2733,APDIS,2,NULL,Deep River Dr,1215,1215,Canyon Gate At The Brazos Se,2003,6249,77469
45,Y,30,2,0,3,Rosenberg,10/5/15 0:00,NULL,NULL,NULL,CNGAS,N,NULL,183,FORTBEND,28,28,4,Y,2000,2,9/3/15 19:55,29.53102493,-95.72659302,1750,BONBROOK PLANTATION,9/3/15 0:00,1750,6091,APPDS,CSBAS,32,9/23/15 13:14,"EASY TO SHOW. ALL OCCUPANTS OVER 18 WILL NEED TO SUBMIT AN APPLICATION, COPY OF TDL, YTD EARNINGS ON PAYSTUB. AFTER REVIEW A LINK TO WWW.MYSMARTMOVE.COM WILL BE SENT ****OWNER/AGENT***",NULL,"GREAT LOCATION! ONLY ONE NEIGHBOR ADJOINS PROPERTY. GREEN BELT ACROSS THE STREET! POPULAR DAVID WEEKLEY PLAN HAS BOTH FORMALS AND SPACIOUS DEN. HUGE ISLAND IN THE KITCHEN THAT OVERLOOKS DEN AND BREAKFAST AREA. 42 INCH CABINETS, 2'' FAUX BLINDS. EXTENDED TILE IN ENTRY, KITCHEN, BREAKFAST AND DEN. ALL THE BELLS AND WHISTLES. MOUNTED TV IN MASTER BEDROOM, GAS LOGS AND FANS HAVE REMOTES. INVITING FRONT PORCH. COVERED BACK PATIO. FLEX ROOM/STUDY. FRIDGE INCLUDED. NEVER LEASED! FRESH PAINT!OWNER/AGENT",NULL,1YEAR,FREES,2113,APDIS,NULL,NULL,Henrico Ln,8719,8719,Bonbrook Plantation South Se,2007,4878,77469
35,Y,30,2,0,3,Richmond,10/4/15 0:00,N,0,"ELDRY,GASDR,WASHR",CNELE,N,NULL,183,FORTBEND,11,11,1,Y,1200,2,9/24/15 10:10,29.54112816,-95.71180725,1150,BRAZOS VILLAGE,9/22/15 0:00,1200,5310,APPDS,CSBAS,11,9/24/15 10:15," Home will be available by October,1 2015. Please call me for instructions if you are emailing an application. Instructions will have the credit application and back ground check information. Pets may be considered by landlord.",NULL,"Very nice one story home with an open floor plan. Home has 3 bedrooms, 2 full baths, ceramic tile in the entry way & kitchen, other features include a breakfast area with Bay Windows, a cozy fire place in living area, ceiling fans throughout the home, master bedroom has a garden tub and a big walking closet. Home has mini blinds, refrigerator, microwave. Nice size back yard, great community and great schools. Easy access to 99 & 59 freeways. A must see!",NULL,1YEAR,FREES,1437,APDIS,1,NULL,WANDERING CREEK DR.,5751,5751,BRAZOS VILLAGE SEC 2,2003,6191,77469
